UNID_CARTO	CANA_AZUCA	BANANO	AGRICOLA	INGENIERIA
524	4 No apta	4 No apta	4 Muy bajo	4 Limit_muy fuerte
525	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
526	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
527	4 No apta	4 No apta	4 Muy bajo	3 Limit_fuerte
528	4 No apta	4 No apta	4 Muy bajo	3 Limit_fuerte
529	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
530	4 No apta	4 No apta	4 Muy bajo	2 Limit_moderada
531	4 No apta	4 No apta	4 Muy bajo	2 Limit_moderada
532	4 No apta	4 No apta	3 Bajo	3 Limit_fuerte
533	3 Marginal	3 Marginal	2 Moderado	2 Limit_moderada
535	3 Marginal	3 Marginal	2 Moderado	2 Limit_moderada
536	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
538	4 No apta	4 No apta	4 Muy bajo	2 Limit_moderada
539	3 Marginal	3 Marginal	2 Moderado	2 Limit_moderada
541	3 Marginal	3 Marginal	2 Moderado	2 Limit_moderada
542	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
543	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
544	3 Marginal	3 Marginal	2 Moderado	2 Limit_moderada
545	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
546	3 Marginal	3 Marginal	2 Moderado	2 Limit_moderada
547	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
548	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
549	4 No apta	4 No apta	4 Muy bajo	2 Limit_moderada
550	3 Marginal	3 Marginal	4 Muy bajo	2 Limit_moderada
551	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
552	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
553	3 Marginal	3 Marginal	2 Moderado	2 Limit_moderada
554	4 No apta	4 No apta	4 Muy bajo	3 Limit_fuerte
555	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
556	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
557	4 No apta	4 No apta	4 Muy bajo	3 Limit_fuerte
558	4 No apta	4 No apta	4 Muy bajo	2 Limit_moderada
559	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
560	4 No apta	4 No apta	4 Muy bajo	1 Limit_ligera
561	4 No apta	4 No apta	4 Muy bajo	1 Limit_ligera
572	4 No apta	4 No apta	4 Muy bajo	3 Limit_fuerte
587	4 No apta	4 No apta	4 Muy bajo	1 Limit_ligera
589	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
593	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
594	4 No apta	4 No apta	4 Muy bajo	1 Limit_ligera
